Date,Price of last transaction,Max.,Min.,Average price,%prom.,Quantity,BEST turnover in denars,Total turnover in denars
25.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
24.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
23.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
20.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
19.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
18.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
17.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
16.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
13.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
12.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
11.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
10.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
06.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
05.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
04.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
03.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
02.9.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
30.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
29.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
27.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
26.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
23.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
22.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
21.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
20.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
19.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
16.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
15.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
14.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
13.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
12.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
09.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
08.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
07.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
06.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
05.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
01.8.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
31.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
30.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
29.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
26.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
25.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
24.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
23.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
22.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
19.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
18.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
17.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
16.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
15.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
12.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
11.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
10.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
09.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
08.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
05.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
04.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
03.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
02.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
01.7.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
28.6.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
27.6.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
26.6.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
25.6.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
24.6.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
20.6.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
19.6.2024,"9.785,00",,,"9.785,00","0,00",0,0,0
29.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
28.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
27.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
26.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
23.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
22.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
21.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
20.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
19.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
16.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
15.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
14.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
13.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
12.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
09.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
07.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
06.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
05.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
02.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
01.12.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
30.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
29.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
28.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
25.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
24.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
23.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
22.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
21.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
18.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
17.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
17.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
16.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
15.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
14.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
11.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
10.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
09.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
08.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
07.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
04.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
03.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
02.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
01.11.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
31.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
28.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
27.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
26.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
25.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
21.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
20.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
19.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
18.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
17.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
14.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
13.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
12.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
10.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
07.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
06.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
05.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
04.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
03.10.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
30.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
29.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
28.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
27.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
26.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
23.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
22.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
21.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
20.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
19.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
16.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
15.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
14.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
13.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
12.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
09.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
07.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
06.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
05.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
02.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
01.9.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
31.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
30.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
29.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
26.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
25.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
24.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
23.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
22.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
19.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
18.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
17.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
16.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
15.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
12.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
11.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
10.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
09.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
08.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
05.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
04.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
03.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
01.8.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
29.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
28.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
27.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
26.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
25.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
22.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
21.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
20.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
19.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
18.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
15.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
14.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
13.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
12.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
11.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
08.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
07.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
06.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
05.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
04.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
01.7.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
30.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
29.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
28.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
27.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
24.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
23.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
22.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
21.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
20.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
17.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
16.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
15.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
14.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
13.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
09.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
08.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
07.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
06.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
03.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
02.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
01.6.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
31.5.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
30.5.2022,"9.785,00",,,"9.785,00","0,00",0,0,0
